GENE_SYMBOL,GENE ID (HGNC),DISEASE_LABEL,DISEASE ID (MONDO),MOI,SOP,CLASSIFICATION,ONLINE REPORT,CLASSIFICATION DATE,GCEP
ANG,HGNC:483,amyotrophic lateral sclerosis type 9,MONDO:0012753,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4ee17299-56dd-40a7-8cec-9a316f3e46f2-2022-02-08T000000.000Z,2022-02-08T00:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
ANXA11,HGNC:535,amyotrophic lateral sclerosis type 23,MONDO:0027694,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_4dca2f56-87c6-4ac7-97bf-0889883b8e63-2021-11-12T215939.032Z,2021-11-12T21:59:39.032Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
C9orf72,HGNC:28337,frontotemporal dementia and/or amyotrophic lateral sclerosis 1,MONDO:0007105,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_afd5a267-72c8-4a04-8404-4c819efe61c5-2021-09-21T030209.665Z,2021-09-21T03:02:09.665Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
CCNF,HGNC:1591,frontotemporal dementia and/or amyotrophic lateral sclerosis 5,MONDO:0030875,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7d6c258c-ce66-459a-a4ae-7376fcefde0d-2022-04-05T230455.308Z,2022-04-05T23:04:55.308Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
CHCHD10,HGNC:15559,frontotemporal dementia and/or amyotrophic lateral sclerosis 2,MONDO:0014395,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d154f67a-25ce-40d3-9de3-1f001753843a-2022-09-13T160000.000Z,2022-09-13T16:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
CHMP2B,HGNC:24537,frontotemporal dementia and/or amyotrophic lateral sclerosis 7,MONDO:0010936,AD,SOP8,Definitive,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_287cab44-b8b6-411c-903a-6214ac5e98af-2022-07-12T160000.000Z,2022-07-12T16:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
DAO,HGNC:2671,amyotrophic lateral sclerosis,MONDO:0004976,AD,SOP8,Refuted,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_35ac00ac-3279-4c7e-89b6-8a75e3cae414-2022-04-12T103808.867Z,2022-04-12T10:38:08.867Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
DNAJC7,HGNC:12392,amyotrophic lateral sclerosis,MONDO:0004976,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e2a12a19-b37a-4654-87fa-3a921c202c87-2022-10-27T160000.000Z,2022-10-27T16:00:00.000Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
ERBB4,HGNC:3432,amyotrophic lateral sclerosis type 19,MONDO:0014223,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fdd26ab6-0c1f-4322-9f70-cad651bb789f-2021-09-30T143144.993Z,2021-09-30T14:31:44.993Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
ERLIN1,HGNC:16947,amyotrophic lateral sclerosis,MONDO:0004976,AR,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d668c62f-b002-4015-a629-ecbebed40e59-2021-07-27T160919.089Z,2021-07-27T16:09:19.089Z,Amyotrophic Lateral Sclerosis Spectrum Disorders
